Release Date,Time,Actual,Forecast,Previous
12-Oct-17,2:05,3.097M,-0.400M,-4.079M
4-Oct-17,2:05,-4.079M,-,-0.761M
27-Sep-17,2:05,-0.761M,3.400M,1.443M
20-Sep-17,2:05,1.443M,3.500M,6.181M
13-Sep-17,2:05,6.181M,-,2.791M
7-Sep-17,2:05,2.791M,4.000M,-5.780M
30-Aug-17,2:05,-5.780M,-1.500M,-3.595M
23-Aug-17,2:05,-3.595M,-3.400M,-9.200M
16-Aug-17,2:05,-9.200M,-0.472M,-7.839M
9-Aug-17,2:05,-7.839M,-2.200M,1.779M
2-Aug-17,2:05,1.779M,-2.900M,-10.230M
26-Jul-17,2:05,-10.230M,-3.000M,1.628M
19-Jul-17,2:05,1.628M,-3.500M,-8.133M
12-Jul-17,2:05,-8.133M,-2.900M,-5.764M
6-Jul-17,2:05,-5.764M,-1.600M,0.851M
28-Jun-17,2:05,0.851M,-2.600M,-2.720M
21-Jun-17,2:05,-2.720M,-2.100M,2.750M
14-Jun-17,2:05,2.750M,-2.700M,-4.620M
7-Jun-17,2:05,-4.620M,-3.500M,-8.670M
1-Jun-17,2:05,-8.670M,-2.500M,-1.500M
24-May-17,2:05,-1.500M,-2.700M,0.882M
17-May-17,2:05,0.882M,-2.300M,-5.789M
10-May-17,2:05,-5.789M,-1.800M,-4.158M
3-May-17,2:05,-4.158M,-2.300M,0.897M
26-Apr-17,2:05,0.897M,-1.300M,-0.840M
19-Apr-17,2:05,-0.840M,-0.050M,-1.300M
12-Apr-17,2:05,-1.300M,0.125M,-1.834M
5-Apr-17,2:05,-1.834M,-0.500M,1.909M
29-Mar-17,2:05,1.909M,0.300M,4.529M
22-Mar-17,2:05,4.529M,2.000M,-0.531M
15-Mar-17,2:05,-0.531M,3.500M,11.600M
8-Mar-17,3:05,11.600M,1.660M,2.502M
1-Mar-17,3:05,2.502M,3.000M,-0.884M
23-Feb-17,3:05,-0.884M,3.300M,9.940M
15-Feb-17,3:05,9.940M,3.500M,14.230M
8-Feb-17,3:05,14.230M,2.500M,5.800M
1-Feb-17,3:05,5.800M,2.200M,2.927M
25-Jan-17,3:05,2.927M,2.800M,-5.040M
19-Jan-17,3:05,-5.040M,0.300M,1.500M
11-Jan-17,3:05,1.500M,0.900M,-7.430M
5-Jan-17,3:05,-7.430M,-1.700M,4.200M
29-Dec-16,3:05,4.200M,-2.100M,-4.150M
21-Dec-16,3:05,-4.150M,-2.500M,4.680M
14-Dec-16,3:05,4.680M,-1.500M,-2.210M
7-Dec-16,3:05,-2.210M,-1.370M,-0.717M
30-Nov-16,3:05,-0.717M,-0.600M,-1.280M
23-Nov-16,3:05,-1.280M,1.000M,3.650M
16-Nov-16,3:05,3.650M,-2.000M,4.400M
9-Nov-16,3:05,4.400M,2.000M,9.300M
2-Nov-16,2:05,9.300M,1.600M,4.800M
26-Oct-16,2:05,4.800M,2.000M,-3.800M
19-Oct-16,2:05,-3.800M,2.100M,2.700M
13-Oct-16,2:05,2.700M,0.250M,-7.600M
5-Oct-16,2:05,-7.600M,1.500M,-0.752M
28-Sep-16,2:05,-0.752M,3.000M,-7.497M
21-Sep-16,2:05,-7.497M,3.250M,1.440M
14-Sep-16,2:05,1.440M,4.000M,-12.080M
8-Sep-16,2:05,-12.080M,0.500M,0.942M
31-Aug-16,2:05,0.942M,-,4.464M
24-Aug-16,2:05,4.464M,0.200M,-1.000M
17-Aug-16,2:05,-1.000M,-,2.090M
10-Aug-16,2:05,2.090M,-1.000M,-1.300M
3-Aug-16,2:05,-1.300M,-,-8.270M
27-Jul-16,2:05,-8.270M,-,-2.300M
20-Jul-16,2:05,-2.300M,-,2.200M
13-Jul-16,2:05,2.200M,-,-6.730M
7-Jul-16,2:05,-6.730M,-,-3.860M
29-Jun-16,2:05,-3.860M,-,-5.224M
22-Jun-16,2:05,-5.224M,-,1.518M
15-Jun-16,2:05,1.518M,-1.400M,-3.560M
8-Jun-16,2:05,-3.560M,-3.500M,2.350M
2-Jun-16,2:05,2.350M,-3.100M,-5.137M
25-May-16,2:05,-5.137M,-3.300M,-1.140M
18-May-16,2:05,-1.140M,-3.000M,3.450M
11-May-16,2:05,3.450M,0.300M,1.265M
4-May-16,2:05,1.265M,0.500M,-1.070M
27-Apr-16,2:05,-1.070M,0.800M,3.100M
20-Apr-16,2:05,3.100M,1.600M,6.223M
13-Apr-16,2:05,6.223M,1.000M,-4.300M
6-Apr-16,2:05,-4.300M,2.900M,2.600M
30-Mar-16,2:05,2.600M,2.000M,8.796M
23-Mar-16,2:05,8.796M,2.700M,1.500M
16-Mar-16,2:05,1.500M,3.400M,4.400M
9-Mar-16,3:05,4.400M,3.000M,9.900M
2-Mar-16,3:05,9.900M,2.500M,7.100M
24-Feb-16,3:05,7.100M,3.000M,-3.300M
18-Feb-16,3:05,-3.300M,3.000M,2.400M
10-Feb-16,3:05,2.400M,3.800M,3.837M
3-Feb-16,3:05,3.837M,4.800M,11.400M
27-Jan-16,3:05,11.400M,3.500M,4.600M
21-Jan-16,3:05,4.600M,2.900M,-3.900M
13-Jan-16,3:05,-3.900M,2.000M,-5.600M
6-Jan-16,3:05,-5.600M,2.750M,2.900M
30-Dec-15,3:05,2.900M,-2.200M,-3.600M
23-Dec-15,3:05,-3.600M,1.000M,2.300M
